name,address,phone_number,website,description
Eglinton West Dental,"1114 Eglinton Ave W, Toronto, ON M6C 2E2",647-484-2557,http://eglintonwestdental.ca/,"We offer preventitive, restorative and cosmetic dental services."
Dentistry on Danforth,"249 Danforth Ave, Toronto, ON M4K 1N2",647-360-3815,http://www.dentistryondanforth.com/,"Dentistry on Danforth Provides Comprehensive Dentistry In One Location-Preventive & General Dentistry, Cosmetic, Implant and Restorative Dentistry"
Vernon Koo,"1920 Yonge St, Toronto, ON M4S 3E2",647-498-0073,http://www.yongedavisvilledentistry.com/,"Comprehensive General Practice-New Patients & Emergencies Welcome-Cosmetic Dentistry, Family Dentistry."
Danforth Dentistry - Dr. Strugurescu,"309-745 Danforth Ave, Toronto, ON M4J 1L4",647-723-9559,http://www.danforthdentistry.com/,Dr. Michael Strugurescu focuses on aiding and maintaining complete oral health.
Dr Steven & Dr Jonathan Stern Dentistry,"2-49 Eglinton Ave E, Toronto, ON M4P 1G6",647-846-7243,http://drstern.ca/,Don?t let your anxiety about going to the dentist keep you from getting the care you need!
Endodontic Specialists - Bay Street,"1235 Bay St., Toronto, ON M5R 3K4",416-963-9988,http://www.rootcanals.ca/,Endodontic Specialists - Bay Street is your Family-friendly Endodontist in Toronto and we welcome you and your family to visit us.
Dr Paul S Monczka,"103-795 Eglinton Ave E, East York, ON M4G 4E4",416-424-3477,https://www.yellowpages.ca/search/si/1/Dentists/<javascript:void\(0\)>,Dentists
Dr Violeta Danciu,"2329 Dundas St W, Toronto, ON M6R 1X6",416-533-4973,http://www.danciudentist.com/,Dr. Violeta Danciu is an experienced Toronto family dentist who provides truly exceptional dental care and satisfaction to for her patients over many years.
Royal Bank Plaza Dental Centre,"200 Bay St, Toronto, ON M5J 2J3",437-889-3282,http://www.royaldentalcentre.com/,Oral Hygiene/Preventive Care Teeth Whitening Implants Crown/bridges/veneers Dentures/Extractions Sports Mouth Guards/TMJ night guards Complimentary Cosmetic Consultation Orthodontics & Invisalign
Dagys Arlene P Dr,"340 Kingston Road, Toronto, ON M4L 1T7",416-690-8525,https://www.facebook.com/1701420380146028,Dagys Arlene P Dr is a Toronto-based dentist.
Dr Robert Elia,"175 York Mills Rd, North York, ON M2L 1K6",416-512-6431,http://www.facebook.com/760044720798682,Dr Elia is proud North York Dentist
Yonge Eglinton Periodontics & Implant Surgery,"2300 Yonge Street, Toronto, ON M4P 1E4",416-481-1179,http://www.drandrewkay.com/,"Located in Toronto, Yonge Eglinton Periodontics & Implant Surgery offers a range of care options for better oral health."
Dr Marta Prystayko,"305-2425 Bloor St W, Toronto, ON M6S 4W4",647-484-2943,http://www.facebook.com/1186411154705330,Practicing family dentistry in the Bloor West community for over 30 years.
Oral Surgery Practice,"340 College St, Toronto, ON M5T 3A9",416-924-9673,https://www.yellowpages.ca/search/si/1/Dentists/<javascript:void\(0\);>,"For reliable dental care in the downtown Toronto area, visit Oral Surgery Practice on College Street today."
Dr Mark Nusinoff,"203-2179 Yonge St, Toronto, ON M4S 2B1",416-488-6633,https://yongestreetdental.com/,Yonge Street Dental
Forest Hill Village Orthodontics,"740 Eglinton Ave W, Toronto, ON M5N 1C4",416-789-1231,http://www.foresthillvillageorthodontics.com/,"Located in Toronto and Aurora, Ontario, our practice's top priority is to provide you the highest quality orthodontic care in a friendly, comfortable environment"
Scarlett Road Dentistry,"263 Scarlett Rd, York, ON M6N 4L1",416-763-3773,http://www.scarlettroaddentistry.com/,Dr Lorne Levy
Concorde Gate Dental,"1 Concorde Gate, North York, ON M3C 3N6",647-360-3931,http://smilexperts.ca/,"Concorde Gate Dental's purpose of their online location is to introduce you to them and tell you about their practice, their philosophy and their staff."
Ing Katherine Dr,"586 Eglinton Ave E, Toronto, ON M4P 1P2",416-486-6765,http://leasidesmiles.com/,Our friendly home-like environment promotes a positive introduction to visiting the dentist.
Costache Dentistry Professional Corporat,"1066 Bloor St W, Toronto, ON M6H 1M6",416-534-9991,http://costachedentistry.com/,"Costache Dentistry Professional Corporat offers Galleria Shopping Centre, Wisdom Teeth, Root Canal, Cosmetic Dentistry, Teeth Cleaning, Mouth Guard, Teeth Whitening, Tooth Bonding, Dental Examination, Tooth Extraction, Veneer."
